location,beds1,beds2,price,area
"Malgudi Apartment, Lakshmipuram, Mysore",2 BHK Apartment,1411 sq.ft built up area ,[7500000],"{'value': 1411, 'unit': 'sq.ft'}"
"Hebbal 1st Stage, Mysore",2 BHK Independent House,599 sq.ft built up area ,[4650000],"{'value': 599, 'unit': 'sq.ft'}"
"Lakshmikanthnagar, Lakshmikanth Nagar, Hebbal 1st Stage, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4800000],"{'value': 600, 'unit': 'sq.ft'}"
"Sowparnika Blue Bells, Vijay Nagar 3rd Stage, Vijayanagar, Mysore",3 BHK Apartment,2150 sq.ft built up area ,[12500000],"{'value': 2150, 'unit': 'sq.ft'}"
"Lakshmikanth Nagar, Hebbal 1st Stage, Mysore",1 BHK Independent House,600 sq.ft built up area ,[4800000],"{'value': 600, 'unit': 'sq.ft'}"
"Varuna, Mysore",2 BHK Independent House,1700 sq.ft built up area ,[8800000],"{'value': 1700, 'unit': 'sq.ft'}"
"Kuvempu Nagar 1st Stage, Kuvempunagar, Mysore",2 BHK Apartment,1128 sq.ft built up area ,[6800000],"{'value': 1128, 'unit': 'sq.ft'}"
"JSS Layout, Mysore",4 RK Independent House,1200 sq.ft built up area ,[9700000],"{'value': 1200, 'unit': 'sq.ft'}"
"shakthinagar, Sakthi Nagar, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[9500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Bannimantap, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[10000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Manuganahalli, Mysore",4 BHK Independent House,1800 sq.ft built up area ,[5500000],"{'value': 1800, 'unit': 'sq.ft'}"
"MMG Grand City, Kuppedada, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[11000000],"{'value': 2400, 'unit': 'sq.ft'}"
"Kandayaagar, BEML Nagar, Mysore",3 BHK Independent House,2200 sq.ft built up area ,[12000000],"{'value': 2200, 'unit': 'sq.ft'}"
